Name,Team,IP,BF,SO,G,Name-additional,Name_std,Name_stat,Str_pct,SwStr_pct,CS_pct,FB_vel,FB_spin,Rel_ext,IP_G,BF_IP
Tarik Skubal,DET,109.0,413,8.117647058823529,17,skubata01,Tarik Skubal,"Skubal, Tarik",0.548481308411215,0.17523364485981308,0.16004672897196262,93.2188574938575,2144.879606879607,6.465909090909091,6.411764705882353,3.7889908256880735
Garrett Crochet,BOS,109.1,431,7.9411764705882355,17,crochga01,Garrett Crochet,"Crochet, Garrett",0.5158516926383665,0.13433637829124126,0.15797958087049974,92.77131564088086,2481.43346659052,6.743760587238849,6.417647058823529,3.9505041246562786
Logan Webb,SFG,107.1,433,7.0588235294117645,17,webblo01,Logan Webb,"Webb, Logan",0.48833333333333334,0.115,0.19777777777777777,89.23956310679611,2058.0521844660193,6.80631067961165,6.3,4.042950513538749
Paul Skenes,PIT,106.0,409,6.470588235294118,17,skenepa01,Paul Skenes,"Skenes, Paul",0.48131622978248745,0.13831567205800335,0.1494701617401004,92.79258226436141,2125.181818181818,6.584049079754601,6.235294117647059,3.858490566037736
Hunter Brown,HOU,98.0,368,7.375,16,brownhu01,Hunter Brown,"Brown, Hunter",0.4735532047293093,0.11387678904791537,0.179215930304916,92.79868593955322,2203.7319316688568,6.68173455978975,6.125,3.7551020408163267
Zack Wheeler,PHI,99.0,383,7.875,16,wheelza01,Zack Wheeler,"Wheeler, Zack",0.5017301038062284,0.13264129181084197,0.14705882352941177,91.62208765859286,2411.530057803468,7.16015037593985,6.1875,3.8686868686868685
Max Fried,NYY,108.0,425,6.117647058823529,17,friedma01,Max Fried,"Fried, Max",0.46136618141097424,0.10862262038073908,0.16349384098544234,88.21517357222844,2392.139417693169,6.460190369540873,6.352941176470588,3.935185185185185
Kris Bubic,KCR,96.0,388,6.3125,16,bubickr01,Kris Bubic,"Bubic, Kris",0.4964871194379391,0.13524590163934427,0.16334894613583137,87.99982342554443,2291.9276044732196,6.73925838728664,6.0,4.041666666666667
MacKenzie Gore,WSN,99.0,406,7.588235294117647,17,gorema01,MacKenzie Gore,"Gore, MacKenzie",0.487964989059081,0.14660831509846828,0.1323851203501094,89.95960874568469,2239.3947065592633,6.881703107019563,5.823529411764706,4.101010101010101
Framber Valdez,HOU,109.0,439,6.352941176470588,17,valdefr01,Framber Valdez,"Valdez, Framber",0.46581691772885286,0.11587485515643106,0.17207415990730013,88.12854567307691,2378.0240384615386,5.89344951923077,6.411764705882353,4.027522935779817
Jesus Luzardo,PHI,95.1,408,6.529411764705882,17,,Jesus Luzardo,"Luzardo, Jesús",0.4771949828962372,0.13283922462941847,0.16419612314709237,90.91287477954144,2194.0064667842444,5.786890064667842,5.594117647058823,4.290220820189274
Chris Sale,ATL,89.1,370,7.6,15,salech01,Chris Sale,"Sale, Chris",0.5232273838630807,0.1363080684596577,0.17726161369193155,86.77900403768507,2254.689817936615,6.522745625841184,5.9399999999999995,4.1526374859708195
Jacob deGrom,TEX,95.1,363,5.875,16,degroja01,Jacob deGrom,"deGrom, Jacob",0.49026192075218267,0.13700470114170585,0.15648085963734049,92.47367360644728,2512.8159838817996,6.731967763599731,5.94375,3.8170347003154577
Sonny Gray,STL,93.2,375,6.3125,16,grayso01,Sonny Gray,"Gray, Sonny",0.4789915966386555,0.12217194570135746,0.18034906270200388,87.45423400129282,2489.90174531351,6.50174531351002,5.825,4.023605150214592
Cristopher Sanchez,PHI,93.2,387,6.4375,16,,Cristopher Sanchez,"Sánchez, Cristopher",0.4701195219123506,0.1301460823373174,0.1699867197875166,90.42536520584329,2102.003984063745,7.0607569721115535,5.825,4.152360515021459
Spencer Schwellenbach,ATL,110.2,434,6.352941176470588,17,schwesp01,Spencer Schwellenbach,"Schwellenbach, Spencer",0.4964580873671783,0.1399055489964581,0.1706021251475797,91.09357964869776,2176.007268322229,6.951120533010297,6.482352941176471,3.938294010889292
Matthew Liberatore,STL,92.1,381,4.75,16,liberma01,Matthew Liberatore,"Liberatore, Matthew",0.45143638850889195,0.10054719562243503,0.1662106703146375,89.32229822161422,2357.3901437371665,6.422913816689466,5.75625,4.136807817589577
Joe Ryan,MIN,91.1,357,6.5,16,ryanjo04,Joe Ryan,"Ryan, Joe",0.49623588456712675,0.12045169385194479,0.15809284818067754,89.86044973544975,2283.972222222222,6.705555555555555,5.69375,3.918770581778266
Nick Pivetta,SDP,91.0,362,6.3125,16,pivetni01,Nick Pivetta,"Pivetta, Nick",0.4878213802435724,0.10960757780784844,0.17523680649526388,87.81535859269283,2447.0588633288226,6.817929634641407,5.6875,3.978021978021978
Yoshinobu Yamamoto,LAD,89.2,356,6.3125,16,yamamyo01,Yoshinobu Yamamoto,"Yamamoto, Yoshinobu",0.4796195652173913,0.11752717391304347,0.17459239130434784,89.93281249999998,2108.3539402173915,6.521739130434782,5.575,3.991031390134529
Jose Soriano,LAA,97.0,417,4.9411764705882355,17,,Jose Soriano,"Soriano, José",0.43577981651376146,0.11467889908256881,0.15711009174311927,92.95475917431193,2083.645642201835,6.651892201834864,5.705882352941177,4.298969072164948
Dylan Cease,SDP,91.1,393,6.882352941176471,17,ceasedy01,Dylan Cease,"Cease, Dylan",0.49346219442865263,0.1694144400227402,0.13530415008527572,91.52379535990482,2623.079166666667,6.311481261154075,5.358823529411764,4.313940724478595
Mitch Keller,PIT,99.1,417,4.529411764705882,17,kellemi03,Mitch Keller,"Keller, Mitch",0.4748157248157248,0.085995085995086,0.17997542997542998,88.76949367088606,2471.8512658227846,6.520316455696203,5.829411764705882,4.207870837537841
Chad Patrick,MIL,89.2,381,5.166666666666667,18,patrich01,Chad Patrick,"Patrick, Chad",0.4739847715736041,0.1034263959390863,0.14086294416243655,90.29676994067239,2310.515491100857,6.182003955174687,4.955555555555556,4.271300448430493
Carlos Rodon,NYY,101.2,401,7.0,17,,Carlos Rodon,"Rodón, Carlos",0.47540983606557374,0.13173302107728338,0.18091334894613584,89.27055035128804,2320.43720657277,6.060798122065729,5.952941176470588,3.9624505928853755
Merrill Kelly,ARI,98.0,395,5.882352941176471,17,kellyme01,Merrill Kelly,"Kelly, Merrill",0.47153024911032027,0.11209964412811388,0.16725978647686832,89.3089330024814,2314.6544665012407,6.021526054590571,5.764705882352941,4.030612244897959
Michael Wacha,KCR,92.0,385,4.625,16,wachami01,Michael Wacha,"Wacha, Michael",0.4614894971355824,0.11075747931253978,0.14704010184595798,86.76008911521325,1978.4907702100572,6.7002546148949715,5.75,4.184782608695652
Matthew Boyd,CHC,91.2,368,5.125,16,,Matthew Boyd,"Boyd, Matthew",0.49174917491749176,0.10165016501650165,0.15181518151815182,85.89412176347096,2230.3869839048284,6.2785864240727784,5.7,4.035087719298246
Bryan Woo,SEA,101.1,400,6.0,16,woobr01,Bryan Woo,"Woo, Bryan",0.46924540266328474,0.11160431198478123,0.15472415979708307,92.89499048826887,2229.78,6.564489537095752,6.31875,3.9564787339268053
David Peterson,NYM,95.1,402,5.1875,16,peterda01,David Peterson,"Peterson, David",0.45471938775510207,0.10012755102040816,0.18239795918367346,87.5224380442063,2098.887474882786,7.139115874079036,5.94375,4.2271293375394325
Robbie Ray,SFG,98.1,400,6.470588235294118,17,rayro02,Robbie Ray,"Ray, Robbie",0.490296803652968,0.1358447488584475,0.14726027397260275,89.81102502979739,2234.8599523241955,6.14642431466031,5.770588235294118,4.077471967380225
Chris Bassitt,TOR,94.1,412,5.470588235294118,17,bassich01,Chris Bassitt,"Bassitt, Chris",0.46455331412103745,0.0968299711815562,0.17060518731988472,85.52178674351585,2121.8949798038084,6.352944572748267,5.535294117647059,4.378320935175346
Yusei Kikuchi,LAA,96.2,411,5.823529411764706,17,kikucyu01,Yusei Kikuchi,"Kikuchi, Yusei",0.4731934731934732,0.10664335664335664,0.16783216783216784,88.81072261072262,2154.6928904428905,6.731235431235431,5.658823529411765,4.272349272349272
Freddy Peralta,MIL,93.0,385,5.764705882352941,17,peralfr01,Freddy Peralta,"Peralta, Freddy",0.45434047350620066,0.1262683201803833,0.1375422773393461,90.86683260734287,2333.125077784692,6.816490354698195,5.470588235294118,4.139784946236559
Drew Rasmussen,TBR,84.1,323,4.5,16,rasmudr01,Drew Rasmussen,"Rasmussen, Drew",0.4746376811594203,0.09202898550724638,0.17391304347826086,92.6028,2549.8176,6.598320000000001,5.25625,3.8406658739595723
Dean Kremer,BAL,97.0,408,4.588235294117647,17,kremede01,Dean Kremer,"Kremer, Dean",0.47095179233621753,0.09394313967861558,0.17367119901112485,87.5056338028169,2122.9242119382966,6.119114688128773,5.705882352941177,4.206185567010309
Kevin Gausman,TOR,94.0,376,5.625,16,gausmke01,Kevin Gausman,"Gausman, Kevin",0.49649904519414384,0.11903246339910885,0.15531508593252705,89.97963080840229,2097.692552514322,6.582877148313177,5.875,4.0
Ryan Pepiot,TBR,96.1,388,5.411764705882353,17,pepiory01,Ryan Pepiot,"Pepiot, Ryan",0.4833759590792839,0.11636828644501279,0.14705882352941177,91.0868925831202,2490.324376199616,6.660038363171355,5.652941176470588,4.037460978147763
Jose Berrios,TOR,102.0,415,5.235294117647059,17,,Jose Berrios,"Berríos, José",0.45290941811637675,0.10557888422315537,0.17516496700659867,88.60485902819437,2083.9628074385123,6.446130773845231,6.0,4.068627450980392
Nick Lodolo,CIN,94.2,398,5.0,17,lodolni01,Nick Lodolo,"Lodolo, Nick",0.4713574097135741,0.10834371108343711,0.1506849315068493,89.13664790494059,2273.156347717323,6.234333958724202,5.541176470588235,4.225053078556263
Nick Martinez,CIN,94.0,381,3.8333333333333335,18,,Nick Martinez,"Martinez, Nick",0.4482297929191717,0.09018036072144289,0.17167668670674682,86.67214428857716,2306.265197060788,5.918637274549098,5.222222222222222,4.053191489361702
Luis Severino,ATH,104.1,462,3.9444444444444446,18,severlu01,Luis Severino,"Severino, Luis",0.4351706036745407,0.06929133858267716,0.15853018372703412,91.50369738339022,2272.96188850967,6.263879408418657,5.783333333333333,4.438040345821326
